Steering wheel angle_ma1,Steering wheel angle_ma2,Steering wheel angle_ma3,Steering wheel angle_ma4,Steering wheel angle_ma5,Brake pedal force_ma1,Brake pedal force_ma2,Brake pedal force_ma3,Brake pedal force_ma4,Brake pedal force_ma5,Gas pedal_ma1,Gas pedal_ma2,Gas pedal_ma3,Gas pedal_ma4,Gas pedal_ma5,Brake pedal_ma1,Brake pedal_ma2,Brake pedal_ma3,Brake pedal_ma4,Brake pedal_ma5,Clutch pedal_ma1,Clutch pedal_ma2,Clutch pedal_ma3,Clutch pedal_ma4,Clutch pedal_ma5,Left turn_ma1,Left turn_ma2,Left turn_ma3,Left turn_ma4,Left turn_ma5,Right turn_ma1,Right turn_ma2,Right turn_ma3,Right turn_ma4,Right turn_ma5,Gear_ma1,Gear_ma2,Gear_ma3,Gear_ma4,Gear_ma5,speed_ma1,speed_ma2,speed_ma3,speed_ma4,speed_ma5,RPM_ma1,RPM_ma2,RPM_ma3,RPM_ma4,RPM_ma5,maniobra
-8.24,-8.24,-8.24,-8.24,-8.24,1.36,1.36,1.36,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,147.244,147.244,147.244,147.244,147.244,3step-Turning
-8.19047619047619,-8.19047619047619,-8.19047619047619,-8.19047619047619,-8.19047619047619,1.36,1.36,1.36,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28627.47619047619,28627.47619047619,28627.47619047619,28627.47619047619,28627.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,425.86395238095236,425.86395238095236,425.86395238095236,425.86395238095236,425.86395238095236,3step-Turning
-8.24,-8.214634146341464,-8.214634146341464,-8.214634146341464,-8.214634146341464,1.36,1.36,1.36,1.36,1.36,100.26666666666667,73.36585365853658,73.36585365853658,73.36585365853658,73.36585365853658,0.0,0.0,0.0,0.0,0.0,61272.73333333333,45180.0243902439,45180.0243902439,45180.0243902439,45180.0243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.0,0.002926829268292683,0.002926829268292683,0.002926829268292683,0.002926829268292683,676.7388666666667,577.7888292682927,577.7888292682927,577.7888292682927,577.7888292682927,3step-Turning
-8.788,-8.496666666666666,-8.492459016393441,-8.492459016393441,-8.492459016393441,1.36,1.36,1.36,1.36,1.36,7673.6,3836.8,3773.901639344262,3773.901639344262,3773.901639344262,0.0,0.0,0.0,0.0,0.0,40033.73333333333,40745.316666666666,40077.360655737706,40077.360655737706,40077.360655737706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.18566666666666667,0.09383333333333335,0.09327868852459018,0.09327868852459018,0.09327868852459018,738.5100666666666,631.7044666666667,623.7624918032787,623.7624918032787,623.7624918032787,3step-Turning
-16.816666666666666,-12.528333333333334,-11.403703703703703,-11.403703703703703,-11.403703703703703,1.36,1.36,1.36,1.36,1.36,18118.4,10489.6,7770.074074074074,7770.074074074074,7770.074074074074,0.0,0.0,0.0,0.0,0.0,16171.5,34951.166666666664,33311.69135802469,33311.69135802469,33311.69135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8833333333333333,0.654320987654321,0.654320987654321,0.654320987654321,1.4223333333333334,0.7183333333333334,0.5335802469135802,0.5335802469135802,0.5335802469135802,441.86390000000006,594.9942333333333,551.1456419753086,551.1456419753086,551.1456419753086,3step-Turning
-15.851999999999999,-14.928333333333335,-12.2426,-12.202970297029703,-12.202970297029703,1.36,1.36,1.36,1.36,1.36,26898.033333333333,20253.283333333333,12182.05,12061.435643564357,12061.435643564357,0.0,0.0,0.0,0.0,0.0,5311.1,15051.8,27554.89,27282.069306930694,27282.069306930694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.73,0.7227722772277227,0.7227722772277227,4.081666666666667,2.3741666666666665,1.4250999999999998,1.4115841584158415,1.4115841584158415,295.9508,469.3986833333333,517.06019,513.3986435643565,513.3986435643565,3step-Turning
-13.449333333333334,-16.059,-13.095799999999999,-12.244462809917355,-12.244462809917355,1.36,1.36,1.36,1.36,1.36,34876.566666666666,28506.016666666666,19405.69,16037.760330578512,16037.760330578512,0.0,0.0,0.0,0.0,0.0,199.06666666666666,5182.716666666666,21545.05,22774.23140495868,22774.23140495868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.93,0.768595041322314,0.768595041322314,8.776666666666667,5.664,3.4540999999999995,2.8556198347107435,2.8556198347107435,640.1162666666667,477.02000000000004,577.27569,550.9976198347107,550.9976198347107,3step-Turning
-5.178,-10.000333333333334,-11.869200000000001,-10.806524822695035,-10.806524822695035,1.36,1.36,1.36,1.36,1.36,36773.5,34119.61666666667,26735.45,18982.64539007092,18982.64539007092,0.0,0.0,0.0,0.0,0.0,0.0,957.25,9033.01,19543.843971631206,19543.843971631206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8014184397163121,0.8014184397163121,14.783333333333333,10.493666666666666,6.7272,4.771914893617022,4.771914893617022,1081.7382,766.4899,669.42849,642.7814964539008,642.7814964539008,3step-Turning
0.552,-5.212666666666666,-10.2722,-9.7044,-9.597888198757763,1.36,1.36,1.36,1.36,1.36,37726.53333333333,37047.666666666664,32108.57,22940.433333333334,21373.07453416149,0.0,0.0,0.0,0.0,0.0,0.0,3.216666666666667,3109.63,18276.553333333333,17116.037267080745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8866666666666667,0.8260869565217391,21.308,16.493166666666667,11.2647,7.5469333333333335,7.032049689440995,1561.8905666666665,1207.6596333333332,862.63329,806.1710999999999,772.129447204969,3step-Turning
1.2733333333333332,0.08866666666666663,-5.5256,-8.145733333333332,-8.156132596685083,1.36,1.36,1.36,1.36,1.36,39658.6,38372.38333333333,36135.36,28286.08,23441.50276243094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.35,10079.833333333334,15224.762430939227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8453038674033149,28.233,23.117,16.8933,11.549533333333335,9.572099447513812,2073.139866666667,1695.7796500000002,1237.74694,1016.8218733333332,930.4833756906078,3step-Turning
2.0926666666666667,0.8423333333333333,-2.4068,-7.026533333333333,-7.3247,1.36,1.36,1.36,1.36,1.36,33934.166666666664,36399.03333333333,36422.9,31831.14,24302.475,0.0,0.0,0.0,0.0,0.0,10716.1,5358.05,3216.76,5760.42,15385.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.9833333333333333,0.99,0.9933333333333333,0.86,35.190666666666665,29.9505,23.273000000000003,16.462133333333334,12.34905,2623.0425000000005,2218.07125,1718.63203,1282.19724,1117.84611,3step-Turning
0.0,1.2013333333333334,0.08399999999999999,-4.774933333333332,-6.5059000000000005,1.36,1.36,1.36,1.36,1.36,23089.733333333334,31570.15,33947.05,32826.73333333333,26676.37,0.0,0.0,0.0,0.0,0.0,28690.633333333335,14345.316666666668,8607.19,6801.633333333333,15076.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,1.15,1.1,1.04,38.03966666666667,34.934,28.826700000000002,21.3872,16.1404,2403.151533333333,2370.548783333333,1998.7505600000002,1490.4735266666667,1288.013125,3step-Turning
-1.5786666666666667,-0.738,0.03179999999999997,-2.9495999999999998,-5.9187,1.36,1.36,1.36,1.36,1.36,39667.0,32049.75,34893.44,35144.166666666664,30814.445,0.0,0.0,0.0,0.0,0.0,8014.066666666667,16501.983333333334,9901.19,6640.606666666667,9467.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5833333333333333,1.35,1.2333333333333334,1.175,39.64566666666667,38.492666666666665,33.6927,26.399199999999997,20.209950000000003,1960.0884333333333,2298.310466666667,2156.8392799999997,1725.6593,1413.133885,3step-Turning
-1.1673333333333331,-0.6863333333333334,0.30899999999999994,-0.9732,-4.9816,1.36,1.36,1.36,1.36,1.36,42343.933333333334,35952.73333333333,35765.94,36295.40666666667,33937.255,0.0,0.0,0.0,0.0,0.0,6454.866666666667,13299.466666666667,11194.51,7463.006666666667,7152.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9333333333333333,1.55,1.3666666666666667,1.275,44.359,41.40466666666667,38.219899999999996,31.498733333333337,24.7423,2169.0743666666667,2120.0870999999997,2266.08851,1951.61098,1564.3609,3step-Turning
1.8173333333333335,-0.121,-0.0418,0.5425333333333333,-2.7836999999999996,1.36,1.36,1.36,1.36,1.36,42746.666666666664,42324.683333333334,36318.43,37103.24,36226.895,0.0,0.0,0.0,0.0,0.0,6418.6,6443.2,12473.11,8315.406666666666,6523.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.75,1.5,1.375,49.31233333333333,45.61233333333334,42.323899999999995,36.480133333333335,29.608599999999996,2411.6516333333334,2230.1242333333334,2319.35731,2152.64732,1778.552125,3step-Turning
-0.9659999999999999,-0.03666666666666664,-0.49559999999999993,-0.055200000000000006,-1.4512,1.36,1.36,1.36,1.36,1.36,43965.5,43134.38333333333,38934.65,38005.37333333334,37678.775,0.0,0.0,0.0,0.0,0.0,6073.733333333334,6263.233333333334,10444.3,9106.086666666666,6830.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.96,1.6333333333333333,1.475,54.27466666666667,50.558,46.0572,41.266866666666665,34.6651,2655.2135,2472.9308833333334,2309.75506,2323.124513333333,2014.193545,3step-Turning
-4.530666666666667,-1.547,-1.34,-0.4748,-0.628,1.36,1.36,1.36,1.36,1.36,34126.933333333334,38662.78333333333,40021.52,36633.04,36984.285,0.0,0.0,0.0,0.0,0.0,20314.4,13297.983333333334,10566.11,12782.2,9586.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333333,1.9666666666666666,1.98,1.7533333333333334,1.565,58.901666666666664,55.342499999999994,50.465,45.737,39.64585,2944.2087333333334,2738.5177833333337,2486.86991,2468.0504533333337,2242.810235,3step-Turning
-1.476,-2.4556666666666667,-1.0724,-1.0306666666666666,-0.5203,1.36,1.36,1.36,1.36,1.36,17180.566666666666,30584.85,35439.49,33781.76,35166.465,0.0,0.0,0.0,0.0,0.0,44321.166666666664,25114.983333333334,17640.91,18361.4,13771.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.9,1.675,60.05666666666666,58.419,54.279700000000005,49.22046666666667,43.98620000000001,2531.8533333333335,2654.8332,2533.27095,2434.61328,2345.055115,3step-Turning
5.042666666666666,0.7706666666666666,0.37860000000000005,-0.022133333333333328,0.34380000000000005,1.36,1.36,1.36,1.36,1.36,34878.7,28064.05,34201.44,36412.77333333333,34983.69,0.0,0.0,0.0,0.0,0.0,20031.866666666665,28991.316666666666,19859.41,15704.633333333333,15526.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,2.2,2.1333333333333333,1.875,59.308,59.69883333333333,57.033699999999996,52.031866666666666,47.626799999999996,2736.085,2774.6369333333337,2702.48496,2491.0448133333334,2484.286735,3step-Turning
0.38133333333333325,1.3736666666666666,-0.4432,-0.3028,-0.2425,1.36,1.36,1.36,1.36,1.36,38298.63333333333,31319.3,33418.29,36461.62,34868.36,0.0,0.0,0.0,0.0,0.0,16638.066666666666,25310.283333333333,21886.36,16734.28,17179.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,2.4,2.2666666666666666,2.075,60.47066666666667,59.99933333333333,59.0972,55.00853333333334,50.710550000000005,3228.1267,2852.6135666666664,2860.36351,2670.2674133333335,2589.86041,3step-Turning
